股票代號,股價,現金股利,現金股利殖利率,EPS,ROE,近10日股價,,,,,,,,,
1101,43,2.5,0.0581,4.43,12.5,43.10,43.30,43.65,43.40,43.65,43.95,43.90,44.00,43.30,42.90
1216,72.3,2.5,0.0346,3.35,16.5,73.40,73.50,74.30,74.60,73.90,73.50,73.90,73.70,73.00,72.00
1303,63.3,2.2,0.0348,2.91,6.25,63.20,63.80,65.00,65.00,65.30,66.50,67.00,67.40,66.00,65.30
2002,19.9,0.5,0.0251,0.57,3.06,20.10,20.40,20.90,20.95,21.00,21.20,21.30,21.20,20.90,20.65
2207,549,14,0.0255,21.55,20.3,544.00,541.00,571.00,570.00,582.00,624.00,648.00,684.00,687.00,678.00
2301,48,3.2,0.0667,4.03,12.6,48.85,48.75,49.55,49.85,50.40,50.80,50.60,51.40,50.70,50.80
2303,15.2,0.75,0.0493,0.82,2.96,15.65,15.85,16.20,16.30,16.50,17.05,16.85,16.60,16.05,15.70
2308,140,5,0.0357,8.9,15.2,144.00,145.00,151.50,152.50,153.50,155.00,159.00,160.50,156.50,155.00
2317,74.8,4.2,0.0561,8.32,9.68,76.20,77.10,78.10,78.40,78.50,79.70,79.50,79.90,78.60,78.00
2327,371,15,0.0404,16.35,13.3,385.50,383.00,392.00,400.50,387.50,393.00,392.50,394.50,383.50,381.00
2330,295.5,7.5,0.0254,13.32,20.9,295.50,296.50,301.00,306.00,311.50,318.00,319.00,322.50,320.50,316.00
2357,207.5,14,0.0675,16.34,7.42,210.00,214.00,216.50,217.00,219.00,220.00,220.50,225.00,229.50,226.00
2382,69.5,3.7,0.0532,4.14,11.5,69.90,69.90,70.10,71.50,72.00,70.80,70.80,69.80,69.70,67.80
2395,290,7.8,0.0269,10.51,23.7,294.00,294.00,296.50,298.00,294.50,297.00,295.00,294.00,294.00,290.00
2454,460,10.5,0.0228,14.69,7.88,461.50,485.00,490.00,490.00,494.00,494.50,497.50,500.00,496.50,492.50
3008,3925,79,0.0201,210.7,24.2,4065.00,4085.00,4270.00,4240.00,4270.00,4420.00,4390.00,4400.00,4210.00,4140.00
4904,65.8,3.25,0.0494,2.68,12.2,65.10,65.50,67.00,66.70,66.70,67.20,67.90,68.50,68.00,68.00
5876,42.9,2.05,0.0478,3.5,10.3,43.50,43.40,44.75,45.10,45.20,46.00,46.10,46.75,45.40,44.50
6505,89.6,2.9,0.0324,3.86,10.9,89.90,90.30,93.50,93.50,94.30,95.00,96.00,96.30,93.00,91.00
9904,29.6,1.25,0.0422,4.01,10.5,29.40,29.40,30.10,30.15,30.20,30.40,30.25,30.25,29.35,28.90
